soundname	intervalname	F1	F2	F3	
076_25122019	r	444.0304972374205	1425.8651354723208	2115.155357360132	
076_25122019	ɔ	512.809490242361	1367.0077467802923	2153.346104176602	
076_25122019	d	365.4482787257347	1535.404306534428	2314.0450266834287	
076_25122019	r	439.6762290357759	1300.161666690659	2028.961833115299	
076_25122019	ɔ	490.18241738047396	1048.2530919362778	2165.327470104141	
082_25122019	f	1381.0329624798858	2212.940623833916	3141.644295564647	
082_25122019	ɛ	438.3694308515851	2100.396724106785	2861.756873323496	
082_25122019	f	1338.6787239742455	2159.0285887841073	3342.437659837413	
082_25122019	ɛ	471.71070446280237	2082.0828922603177	2798.1603500783017	
082_25122019	f	1477.6418663006932	2319.422427670859	3220.8658877076546	
082_25122019	ɛ	493.56105826289536	2107.1176779344114	2818.0591653267616	
083_25122019	f	1376.6803479184632	2296.736197970602	3445.7373343250597	
083_25122019	e	356.21465195070135	1975.91914881783	2862.779395605287	
083_25122019	f	1662.851274520856	2422.687579811048	3351.737212847252	
083_25122019	e	372.64605120621934	2030.4510315687066	2828.965846123186	
083_25122019	f	1527.813356602177	2302.6502268250783	3301.6606229007743	
083_25122019	e	352.9614641607365	2031.4615290164163	2823.2954737860073	
1128untitled	l	249.14626121808706	1602.6606421277218	2127.9646328368444	
1128untitled	o	354.50893458032	906.9919335304417	2730.2439194566196	
1128untitled	l	260.3949863012316	1598.7607700124302	2432.587572418398	
1128untitled	o	383.1930074093508	966.628725790846	2539.542824786811	
1128untitled	l	254.47108382757676	1509.069664661668	2612.562179312273	
1128untitled	o	390.74820580716	1060.7556689242344	2719.580865919778	
1326untitled	a	799.0739809936929	1196.2287286244366	2316.177459005726	
1326untitled	k	793.9796039313673	1272.6511689420367	2529.9603185477968	
1326untitled	ɔ	620.7992855916945	881.5368689337823	2263.482693585897	
1326untitled	a	790.974914534989	1236.093708187485	2345.855006572692	
1326untitled	k	868.699336149369	1349.9455990514164	2765.237451004449	
1326untitled	ɔ	593.3059593678368	907.5728916332499	2231.1054496119095	
1326untitled	a	705.2882219129834	1190.727586066305	2292.4275730712893	
1326untitled	k	784.2496363128581	1252.524370911424	2376.7059561823135	
1326untitled	ɔ	529.7700457862612	969.5691323004081	2231.85076933762	
1330untitled	a	680.052286076594	1339.0601997002748	3118.5617486680417	
1330untitled	m	273.0852346326641	1304.176870360138	2465.200914633738	
1330untitled	a̰	408.8167107935116	1351.1790464164028	2543.757767980058	
1330untitled	g	431.54472872473195	1358.814535452031	2856.9351465352647	
1330untitled	o	363.37270336374576	758.315768416317	2652.989075040409	
1330untitled	a	549.2414952121658	1280.1767344035884	3043.700431201602	
1330untitled	m	283.5556083049376	1268.059296906544	2296.127001431352	
1330untitled	a̰	407.3937469894174	1388.254517859646	2454.792915973078	
1330untitled	g	437.99468312198087	1389.6103795015886	2952.0582629112396	
1330untitled	o	363.83240454335254	890.9650085537437	2722.587118488263	
1330untitled	a	682.8421363102159	1332.1795948120894	2769.3097168891304	
1330untitled	m	262.2422597976248	1226.1894027508752	2196.193649990389	
1330untitled	a̰	398.308230342023	1309.2178696302385	2277.5550289516536	
1330untitled	g	387.8581293817328	1113.7196783809036	2402.4788647720966	
1330untitled	o	366.18381037948205	934.906932686447	2800.5653366062966	
1531untitled	m	278.5775890516198	1541.3608624922495	2288.5995836634047	
1531untitled	ɛ̰	361.9008628183096	1608.0235348882627	2611.4914917098977	
1531untitled	n	368.4212077306429	1617.714989447854	2658.1344846805155	
1531untitled	ɛ̰	418.80925351542777	1766.7953633955021	2682.036355124753	
1531untitled	n	317.9092340588995	1456.7332461743397	2601.4367907103765	
1531untitled	e	358.1104414513451	2160.397540947487	2843.3562138916204	
1531untitled	m	304.2659242330744	1973.5599373872783	2756.3274124600985	
1531untitled	ɛ̰	398.00417050586844	1696.2565466646947	2625.142244526837	
1531untitled	n	402.72370917955556	1715.2326361766807	2729.9826070536933	
1531untitled	ɛ̰	376.0333169549512	1747.830529232628	2757.4771187129327	
1531untitled	n	370.620839128805	1729.7548226257588	2747.4508520092363	
1531untitled	ɛ̰	424.07246648749697	1886.8830024370056	2684.389215947197	
1531untitled	m	281.6630167645227	1681.884440909847	2356.4042259152225	
1531untitled	ɛ	447.3206623848978	1867.0466285811412	2860.935042243598	
1531untitled	l	450.03009223077777	1621.3226166075356	2591.9467477669295	
1531untitled	a	727.5025440889326	1543.3293314117536	2396.7017866029723	
1531untitled	m	264.2352704292167	1477.380650048683	2150.9246163281496	
1531untitled	ɛ̰	377.9394646198658	1620.6777828423405	2512.844969134038	
1531untitled	n	407.3712138945737	1633.4931685724525	2449.646276099525	
1531untitled	ɛ̰	450.8126251911964	1753.910378548942	2697.417611133457	
1531untitled	n	345.6885859923117	1723.4667862521135	2812.381011798378	
1531untitled	e	371.9042756262311	2126.7235551520894	2918.955822664113	
1531untitled	m	315.78883482319577	1916.518017958806	2601.665377894013	
1531untitled	ɛ̰	395.9831242734109	1687.9526426175642	2674.3805676309075	
1531untitled	n	425.11898199755166	1670.2744288606484	2749.3910526183854	
1531untitled	ɛ̰	461.4602587357908	1802.2913896395664	2733.2152664981854	
1531untitled	n	351.809677176382	1703.1335109001736	2785.7415696218363	
1531untitled	ɛ̰	410.18311697904926	1791.7568907687394	2599.653102205373	
1531untitled	m	267.714037304402	1583.894974482794	2345.4870604896096	
1531untitled	ɛ	468.9660029635055	1806.51687915173	2715.30813707377	
1531untitled	l	446.62865165841936	1551.5757322941972	2560.3061608504045	
1531untitled	a	729.365100111527	1509.144218275151	2377.3921246730038	
1531untitled	m	281.29279646013725	1534.3060167227388	2160.1706164995085	
1531untitled	ɛ̰	376.55960133137637	1632.5420454399862	2457.3692466131088	
1531untitled	n	367.78280509335406	1669.3199363914453	2739.0314526611796	
1531untitled	ɛ̰	434.5408621949286	1650.189530666277	2762.6268611774044	
1531untitled	n	315.3805456503088	1589.8215645333462	2752.6583765765054	
1531untitled	e	378.26002589070174	2160.498685423563	2885.589510364183	
1531untitled	m	316.83389531710236	1792.3127206990846	2572.5945705910913	
1531untitled	ɛ̰	415.5836365614703	1622.104200244897	2535.7065823465578	
1531untitled	n	380.2514872470426	1694.8931945876734	2619.1725631063778	
1531untitled	ɛ̰	460.72790686256707	1706.5625237512916	2671.963338755481	
1531untitled	n	349.6283176703305	1533.8559007011859	2663.9071865693436	
1531untitled	ɛ	398.311769415767	1682.5115171300115	2473.667366852367	
1531untitled	m	290.6549738416103	1565.0043770242096	2272.801294989329	
1531untitled	ɛ	434.36486796727183	1822.3253210632156	2628.771887174525	
1531untitled	l	399.3342750489085	1562.1100179476016	2524.4854694921314	
1531untitled	a	692.3199085626814	1546.040141247728	2361.66008062194	
1534untitled	n	271.46583762174413	1609.83545008769	2652.905216314853	
1534untitled	a̰	560.7674443420738	1421.9814661194696	2677.9442867406888	
1534untitled	m	545.2917429399039	1404.2878995042045	2590.04412899704	
1534untitled	a̰	651.4123128733786	1329.1330108531506	2528.8693614743815	
1534untitled	l	557.4254876289072	1369.93940126052	2476.768798128499	
1534untitled	a̰	751.5056000529889	1387.1291384058213	2465.2356166859636	
1534untitled	n	284.0716829792706	1512.255558419085	2633.7919162741655	
1534untitled	a̰	587.5045373467095	1381.1272330406423	2761.3609922667147	
1534untitled	m	611.3192099746277	1652.5068109314923	2810.4392969313203	
1534untitled	a̰	675.2500099463686	1309.1710438522873	2513.778357678715	
1534untitled	l	568.1657034883295	1403.8503387877654	2538.4663627802715	
1534untitled	a̰	743.5895260666031	1428.1646654735182	2492.772539228166	
1534untitled	n	412.26443292360153	1698.1113706118088	2627.7033899059365	
1534untitled	a̰	521.1908877952257	1439.2846800025666	2884.1184149059472	
1534untitled	m	827.1077597747463	1736.2801748046586	2568.1045604528495	
1534untitled	a̰	647.5954329933475	1260.306094972158	2430.7730091773433	
1534untitled	l	589.1960897915961	1372.855722010709	2483.4398529224495	
1534untitled	a̰	710.0323414998609	1448.9442118591091	2355.6233197788415	
1534untitled	n	219.02929530397006	1451.0395775755478	2550.5669351853417	
1534untitled	a̰	465.26353609348354	1330.9867820561215	2462.380213210391	
1534untitled	m	268.64483953913106	1191.0003344593442	2340.3148573950634	
1534untitled	a̰	666.1424096273411	1311.4885058903997	2411.854213776196	
1534untitled	l	596.9667045242878	1414.6926555625846	2523.551214209072	
1534untitled	a̰	788.2679254651773	1491.078165708238	2510.2720279102023	
167_080101-003	d	548.3386039364376	1499.8995370296973	2551.207772991504	
167_080101-003	o	400.21822603985527	985.7137445656373	2640.911950934975	
167_080101-003	p	771.20486844259	1332.8679716188944	2751.2587906671456	
167_080101-003	a	838.55302662331	1288.1516383199448	2706.087145212413	
167_080101-003	l	520.885318597076	1358.0079861409897	2828.719995308901	
167_080101-003	a	956.8091362978241	1503.8757707272039	2851.771612931228	
167_080101-003	ŋ	444.38133982255005	1550.2940724620582	2491.7963344154296	
167_080101-003	d	630.5782190082791	1629.183395728442	2662.5877185098384	
167_080101-003	o	414.81475155366724	1008.2316005267832	2642.3086319456493	
167_080101-003	p	833.0200090836113	1661.3871469827056	2832.4743564185096	
167_080101-003	a	803.276436501685	1318.7892859573212	2623.171452032064	
167_080101-003	l	470.86626620692203	1401.0445468688379	2838.2873110896917	
167_080101-003	a	890.6781248174116	1526.6658518608206	2744.459528521771	
167_080101-003	ŋ	479.31976512735184	1534.2740903625863	2498.8576060621203	
167_080101-003	d	613.023928971791	1533.5093888848169	2546.9959202631676	
167_080101-003	o	392.91573897796684	976.3188490285194	2664.3384280730147	
167_080101-003	p	577.9674908806734	1533.2218689097197	2771.5648989913916	
167_080101-003	a	816.1364171399079	1357.6691368163108	2683.766836318897	
167_080101-003	l	428.47286458759925	1450.6747078942994	2839.5746218964114	
167_080101-003	a	916.6270218115612	1527.440534849504	2744.132194468097	
167_080101-003	ŋ	494.6132685673449	1578.6743998537513	2587.4652612548725	
1746untitled	ɲ	527.4034664347452	2218.1990050715226	3143.611272597955	
1746untitled	ɛ	673.6445304566757	1586.9950728787876	2182.61979109703	
1746untitled	r	453.7699080345636	1612.3716168400827	2655.219898199649	
1746untitled	ɛ̰	452.6035065672577	1902.8312604207083	2904.688856074359	
1746untitled	n	331.376100675465	1616.6424632445821	2458.814794718451	
1746untitled	ɛ̰	454.8435693971945	2042.2019279978297	2666.8404200633436	
1746untitled	ɲ	546.0619722156257	2143.794896483697	3158.2268882917797	
1746untitled	ɛ	609.4584616233002	1607.6874001876974	2263.5936330920968	
1746untitled	r	372.7244541927831	1712.5130539405618	2645.6457284895037	
1746untitled	ɛ̰	447.31659151196266	1868.559044384428	2572.0614445275733	
1746untitled	n	329.08355964715577	1541.1373004972347	2556.0824635729978	
1746untitled	ɛ	449.47419335523864	2056.815201776798	2527.7281106240107	
1746untitled	ɲ	618.9324045216422	2088.497554246705	3114.4243157456017	
1746untitled	ɛ	530.4333909186858	1784.3431539535095	2525.302925857274	
1746untitled	r	397.1647741233466	1617.3697803095424	2619.91359451401	
1746untitled	ɛ̰	495.0755850699919	1865.8825479411753	2634.818713887496	
1746untitled	n	326.11301729015986	1376.6269178214957	2483.231590058701	
1746untitled	ɛ̰	459.6922670334254	2040.7980296537114	2629.1043756026043	
1749untitled	n	269.09759275831755	1308.651660475547	2650.1327354784116	
1749untitled	ɛ̰	417.3834874249884	1847.5106962105647	2831.525951373813	
1749untitled	n	359.2982352136055	1876.3532775901415	2676.702805758747	
1749untitled	ɛ̰	498.08253832941205	2083.5679014070624	2883.2807344805306	
1749untitled	n	270.1778353337075	1400.654177234234	2636.2505773509693	
1749untitled	ɛ̰	393.13147937576844	1827.8931425672517	2786.188306753179	
1749untitled	n	363.8614253418616	1789.1401872726572	2540.0670367668226	
1749untitled	ɛ	501.2580347608737	1962.62647050178	2778.877665500284	
1749untitled	n	321.66825212583495	1653.452229531686	2602.7553921928793	
1749untitled	ɛ̰	373.33209985254797	1747.878631837541	2621.8281624279252	
1749untitled	n	349.2719272433242	1749.8702222170555	2513.1115044414787	
1749untitled	ɛ	498.33044273112665	1960.1545381999883	2755.1418786474833	
1804untitled	k	1240.5720516817225	2663.6473833867994	3567.08438710547	
1804untitled	ḭ	335.1982379903482	1793.9383930066344	2821.628291045299	
1804untitled	n	225.31416250942505	1222.1423274001697	2557.4153679752653	
1804untitled	a̰	514.966841491928	1410.427613534873	2400.563847592594	
1804untitled	k	1288.9106247769541	2534.359093748141	3557.039045847062	
1804untitled	ḭ	341.37897629003345	1416.6125244160248	2535.2036211779114	
1804untitled	n	378.66226558998045	1530.9829252597112	2505.3485339210865	
1804untitled	a̰	476.9129608369265	1412.4171006015747	2372.4913585830395	
1804untitled	k	1505.2217644590207	2929.00993238472	3539.087784061307	
1804untitled	ḭ	301.7767659899321	1849.07376450127	2987.2952800261573	
1804untitled	n	346.6831702721399	1307.5915773768172	2525.4449959828235	
1804untitled	a̰	479.1333331463449	1387.2868469776997	2345.349650672311	
1804untitled	k	1444.181254261455	2708.7317578843576	3605.0996299587778	
1804untitled	ḭ	333.4242639940036	1694.6965422089638	2859.1423825884376	
1804untitled	n	308.0187518443141	1276.3764543037164	2556.988845711317	
1804untitled	a̰	528.8415661167251	1520.1090037389913	2747.1044745283752	
1804untitled	p	646.4833090129919	1471.8020528017478	2502.415299461855	
1804untitled	a	678.2690954205408	1274.104429406172	2325.9560263890794	
1804untitled	l	517.5754339023484	1423.4816512471957	2670.9008561824917	
1804untitled	a	680.936082750128	1425.7516141625472	2340.5577755679074	
1804untitled	ŋ	560.6052779331225	1681.9046261723752	2831.7123647430603	
1804untitled	k	1240.4747552012361	2396.5609202311084	3431.176269756347	
1804untitled	ḭ	337.42125835602553	1641.0687930355955	2949.647975642273	
1804untitled	n	349.0867571630427	1305.648884891808	2574.282552162889	
1804untitled	a̰	544.8358120065819	1510.3097943182129	2544.1976293084017	
1804untitled	p	668.2295540697762	1548.6299809886889	2582.812934009976	
1804untitled	a	715.0085140749667	1318.9790755592683	2239.0869131649015	
1804untitled	l	556.6492966216686	1475.484438551888	2417.8409961103985	
1804untitled	a	707.2419770137128	1475.2442121361444	2295.354978704774	
1804untitled	ŋ	575.3170099498666	1394.8989797552592	2390.1615021687317	
1804untitled	k	1670.9085679287866	3055.729337025237	3683.559050754413	
1804untitled	ḭ	320.7335883796371	1719.46348133587	2803.3003200778594	
1804untitled	n	349.87535245852087	1484.638269711111	2597.8211556588294	
1804untitled	a̰	542.7243634639536	1449.9841646312914	2622.9737761676624	
1804untitled	p	609.1468399742003	1417.4114838721823	2427.8423391919296	
1804untitled	a	659.3835038963267	1259.0311966789845	2145.8595663144206	
1804untitled	l	514.9170716180956	1344.8787069657353	2625.927456643145	
1804untitled	a	715.9142267324461	1372.9900311048216	2174.640690136929	
1804untitled	ŋ	700.8043026388079	1538.3028428060609	2833.498447208296	
1847untitled	p	431.7083996058064	1864.5779932997505	2728.328481335166	
1847untitled	e	326.7815102024372	2027.5040924604473	2872.8285947779727	
1847untitled	l	322.82318203642404	1873.5275704098976	2629.2367585137226	
1847untitled	ɛ	473.05596856326633	1972.9494564920567	2679.8119615524024	
1847untitled	p	618.2810035515083	2141.42171952077	3047.6414271994463	
1847untitled	e	317.6280105687209	2087.2323076211082	2852.063053934639	
1847untitled	l	328.0197446324135	1824.0888539881526	2683.278321981353	
1847untitled	ɛ	493.0982136962426	1998.3358627590137	2721.907435701658	
1847untitled	p	517.8967091447532	1868.2954394240949	2739.037957948493	
1847untitled	e	327.42087089976104	2156.600956157832	2766.8412839458665	
1847untitled	l	324.43331862234817	1837.360937830138	2696.930605398776	
1847untitled	ɛ	504.0936723391444	1980.8958634923365	2731.050203477645	
189untitled	n	223.1460052209074	1775.1972921370646	2464.93453932906	
189untitled	ṵ	337.12453918849195	2022.464866316273	2717.277563179518	
189untitled	n	226.24060279926167	1648.9972188016902	2498.303623213912	
189untitled	ṵ	274.11901789550507	1762.0726789668092	2464.64442975544	
189untitled	n	250.60699787374344	1715.8525947103878	2487.718517125012	
189untitled	ṵ	384.07416158041576	1908.6895426538752	2654.5380221980295	
189untitled	n	190.1467022620705	1761.2734303600835	2539.7065900744724	
189untitled	ṵ	319.86887109506404	1339.990415702975	2341.0442226510067	
189untitled	ṵ	265.3641784810221	1831.9750720274578	2547.7146521505397	
189untitled	n	224.7349762540973	1689.7587555584878	2438.657185494545	
189untitled	ṵ	326.7640147061415	1403.996341202896	2342.2569980294707	
189untitled	ṵ	288.07824083541146	1495.256911270082	2411.815277438665	
189untitled	n	233.41159505411304	1723.327936561103	2540.9799209718367	
189untitled	ṵ	348.0498745688846	1305.815155851312	2431.506303900321	
189untitled	ṵ	257.6887376669358	1787.805740359832	2474.101556865796	
1927untitled	p	560.8817929007021	1146.8718359416007	2622.475281079681	
1927untitled	ɔ̰	489.22186089407046	1055.3985783531607	2601.670415582198	
1927untitled	l	436.24530848739056	1286.5209528040962	2248.9826039643394	
1927untitled	ɔ̰	511.19990754749205	1350.5008974648897	2441.156108924617	
1927untitled	n	326.1568818337734	1905.453421530495	2688.6786989664333	
1927untitled	ḭ	435.2404004687613	1159.6061907747169	2329.0731921075426	
1927untitled	p	562.247775108547	1403.7872443824838	2655.088358796983	
1927untitled	ɔ̰	484.80268524566117	1092.3246542483796	2207.2141566037835	
1927untitled	l	552.914708934039	1197.1998363237492	2090.388789845823	
1927untitled	ɔ̰	538.1175282501974	1217.2907208662211	2468.6010915002325	
1927untitled	n	290.40861883325033	1680.9242717843613	2718.523668612808	
1927untitled	ḭ	403.70718557925414	1368.3158153655315	2473.6920480669737	
1927untitled	p	582.2982457152056	1233.6347912299684	2798.9784571066757	
1927untitled	ɔ̰	542.8747114583227	1127.8439306812295	2337.7121351811948	
1927untitled	l	515.3797917690586	1373.2839433802887	2441.5590769966675	
1927untitled	ɔ̰	505.7025490969658	1408.9502584266104	2462.9679375565383	
1927untitled	n	326.80646064737454	1854.8515368959702	2701.382888938553	
1927untitled	ḭ	517.3481064606497	2222.523483285559	3328.5608178219254	
1927untitled	p	774.2078732438508	1456.9056782567911	3005.4313732194973	
1927untitled	ɔ̰	457.0850465768678	1203.4370258978552	2606.6183221188257	
1927untitled	l	509.9017543982669	1325.3286832255067	2530.1385015985634	
1927untitled	ɔ̰	484.86787325744086	1479.6635755941163	2373.449207037811	
1927untitled	n	349.5531757181343	1734.8885716898076	2704.1544606522207	
1927untitled	ḭ	387.82073088262916	1750.9311599795503	2514.5981598706526	
1927untitled	p	576.4034299511251	1465.3789552772994	2620.0282279339162	
1927untitled	a	678.8683131024475	1274.564789468614	2344.4704109276495	
1927untitled	l	635.1886607941183	1422.7060401301474	2499.8196862522145	
1927untitled	a	722.6051509356292	1429.1863973862487	2311.9951806881386	
1927untitled	ŋ	391.51261549510775	1387.7942566548518	2461.6288356087766	
1927untitled	p	812.9297984625034	1556.3116039089214	2777.845568632658	
1927untitled	ɔ̰	516.471053588249	1120.3431052009487	2369.0355869144523	
1927untitled	l	473.50390906319933	1305.066696449525	2432.885591723011	
1927untitled	ɔ̰	472.8443199997949	1469.0899101820225	2480.8066028050257	
1927untitled	n	366.98433018703815	1418.4129590668372	2673.835097216569	
1927untitled	ḭ	401.8684852224877	2065.9594413115137	3019.4419627471857	
1927untitled	p	566.095412307311	1393.5843142969043	2523.4004395160982	
1927untitled	a	626.4336526355781	1258.1860688643096	2332.886058757698	
1927untitled	l	610.8819526752195	1419.3739833793722	2479.1304648073246	
1927untitled	a	716.2858219697238	1474.7320690378715	2428.1835712691127	
1927untitled	ŋ	495.54894554006773	1486.823406781458	2654.7833133105346	
1927untitled	p	661.6730340820536	1409.9604441733786	2595.2089929918666	
1927untitled	ɔ̰	478.7218300498318	1164.6366652042957	2166.800924387593	
1927untitled	l	479.7502241825734	1364.2324509824127	2115.1600393857057	
1927untitled	ɔ̰	469.09469581414476	1548.306271593691	2479.2064890106158	
1927untitled	n	381.56676843454915	1539.02481205655	2668.118543156079	
1927untitled	ḭ	406.71217050190256	1999.7183754813968	2573.8486964810286	
1927untitled	p	675.5345586482133	1484.1042864371993	2688.163417959153	
1927untitled	a	644.8565146026604	1245.5161836117811	2305.054986631061	
1927untitled	l	592.1055062556264	1426.9154560668724	2447.580620688645	
1927untitled	a	716.3054837448075	1482.3740372699376	2380.3288430220373	
1927untitled	ŋ	371.43699675631785	1406.9230326429758	2444.272750911651	
1950untitled	s	1288.9899376744097	2360.158584736209	3181.458611519427	
1950untitled	i	312.1351260750062	2053.550478029698	2985.1844833161053	
1950untitled	l	331.3406277884219	1737.75291789723	2684.4990866452217	
1950untitled	e	473.48734154941405	1871.3347976849516	2799.4865055604905	
1950untitled	s	1333.7687251458963	2509.804257234106	3878.8722544557017	
1950untitled	i	323.75937959109956	1999.6819499588028	2958.7709584287018	
1950untitled	l	334.4605074272276	1927.9677217659353	2874.525092897085	
1950untitled	e	471.43929794886526	1864.0827764179817	2774.0378688832975	
1950untitled	s	996.1950507826649	1882.1589302160257	2872.4851697253603	
1950untitled	i	311.955821824947	2054.3150390433343	2970.258407207635	
1950untitled	l	324.8371386257991	2020.0170447025666	3145.423869882734	
1950untitled	e	471.3485922562954	1920.6436761566845	2785.283101480293	
1954untitled	s	1055.7046450398648	2061.458098569639	3385.0276602689814	
1954untitled	ɔ	604.0996836965178	1055.4091840112694	2418.4366082767665	
1954untitled	s	1528.038504010878	3064.178407996364	3686.4916613067626	
1954untitled	ɔ	601.2431710172473	1064.871301570072	2750.9079705775553	
1954untitled	s	1278.3112619931471	2400.088803351594	3581.6751903939103	
1954untitled	ɔ	567.6320881259899	1085.238966707184	2364.8641223692416	
1954untitled	s	1401.915203662663	2798.6565163226305	3717.6153648377453	
1954untitled	ɔ	527.8196738438081	1375.6519025803632	2642.1312052483936	
1958untitled	s	1142.5389553969874	2407.0992325284233	3318.539923160328	
